disturbed?,coastal?,classification,population,ID,leaf_weight_g,leaf_area,lflength,SLA,avg_fruit_length,plant_height,# flowers,# fruits,reproductive_effort,E_cicutarium,E_brachycarpum,E. malacoides,E_botrys,E_moschatum,other_Erodium,Erodium_total,grass ,forb,shrub,total,soil_wet_weight,soil_dry_weight,soil_water_content,OM,ENR,P1,HCO3_P,PH,K,MG,CA,NA,BUFFER_PH,H,CEC,K_PCT,MG_PCT,CA_PCT,H_PCT,NA_PCT,S
undisturbed,inland,agricultural,Alcohuaz,Al1,0.01724,230.346,55.286,13361.13689,3.30,8.40,4,11,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,321,318,3,2.5,79.0,10.0,16.9,7.7,153.5,446.5,1710.0,15.0,,0.0,12.7,3.1,29.0,67.4,0.0,0.5,10.0
undisturbed,inland,agricultural,Alcohuaz,Al10,0.00541,68.89,28.439,12733.82625,2.65,5.20,2,5,7,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,341,338,3,,,,,,,,,,,,,,,,,,
undisturbed,inland,agricultural,Alcohuaz,Al11,0.00804,87.271,28.579,10854.60199,2.48,5.30,0,5,5,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,0.40,378,375,3,1.5,59.6,34.9,4.7,7.8,154.0,105.0,1794.0,11.0,,0.0,10.3,3.8,8.4,87.3,0.0,0.5,5.0
undisturbed,inland,agricultural,Alcohuaz,Al12,0.00967,142.132,38.305,14698.24199,2.40,4.40,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,436,433,3,2.1,71.6,26.4,16.1,7.8,106.0,98.0,1800.0,10.0,,0.0,10.1,2.7,8.0,88.9,0.0,0.4,7.0
undisturbed,inland,agricultural,Alcohuaz,Al13,0.01293,186.44,48.925,14419.1802,2.47,4.90,0,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,306,,,,,,,,,,,,,,,,,,,,
undisturbed,inland,agricultural,Alcohuaz,Al14,0.0103,145.88,40.04,14163.1068,2.96,6.60,7,4,11,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.05,0.00,0.00,0.35,237,235,2,2.4,77.0,30.9,10.0,7.8,183.0,100.0,1906.0,9.0,,0.0,10.8,4.3,7.6,87.7,0.0,0.4,7.0
undisturbed,inland,agricultural,Alcohuaz,Al15,0.01153,118.569,38.712,10283.52125,2.80,6.50,0,15,15,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,246,241,5,,,,,,,,,,,,,,,,,,
undisturbed,inland,agricultural,Alcohuaz,Al16,0.01173,182.912,39.551,15593.52089,2.57,8.10,0,6,6,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,214,the bag broke!,,,,,,,,,,,,,,,,,,,
undisturbed,inland,agricultural,Alcohuaz,Al17,0.00767,131.418,40.609,17134.02868,2.75,7.60,1,2,3,0.60,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.60,199,197,2,3.1,91.2,28.0,26.6,8.2,232.0,102.0,1362.0,40.0,,0.0,8.4,7.1,10.0,80.9,0.0,2.1,9.0
undisturbed,inland,agricultural,Alcohuaz,Al18,0.02351,301.798,55.409,12837.00553,3.33,11.10,4,15,19,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.00,0.30,388,387,1,1.5,59.8,118.8,22.0,7.8,191.0,128.0,1884.0,15.0,,0.0,11.0,4.4,9.6,85.4,0.0,0.6,10.0
undisturbed,inland,agricultural,Alcohuaz,Al19,0.0639,806.378,87.337,12619.37402,3.41,39.00,12,54,66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,286,,4.0,109.4,54.4,14.7,7.8,417.0,157.0,1503.0,12.0,,0.0,9.9,10.8,13.0,75.7,0.0,0.5,17.0
undisturbed,inland,agricultural,Alcohuaz,Al2,0.00951,104.137,39.143,10950.26288,2.63,4.00,2,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,,242,,,,,,,,,,,,,,,,,,,
undisturbed,inland,agricultural,Alcohuaz,Al20,0.00675,95.029,29.459,14078.37037,2.23,5.10,0,3,3,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.05,0.00,0.15,348,342,6,2.1,72.0,20.2,16.3,8.0,97.0,402.0,2970.0,42.0,,0.0,18.6,1.3,17.8,79.9,0.0,1.0,3.0
undisturbed,inland,agricultural,Alcohuaz,Al3,0.0088,91.876,30.477,10440.45455,2.57,4.20,0,9,9,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.00,0.50,175,172,3,5.7,144.4,11.0,24.4,7.7,110.4,550.5,1600.0,17.0,,0.0,12.9,2.2,35.2,62.0,0.0,0.6,11.0
undisturbed,inland,agricultural,Alcohuaz,Al4,0.00827,92.621,35.798,11199.63724,2.50,5.50,0,8,8,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.00,0.30,326,323,3,2.9,88.2,19.0,10.5,7.5,100.3,559.2,2267.0,39.4,,0.0,16.3,1.6,28.1,69.2,0.0,1.0,32.8
undisturbed,inland,agricultural,Alcohuaz,Al5,0.01117,166.904,45.208,14942.16652,3.18,7.00,2,11,13,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.15,0.00,0.20,364,361,3,2.5,79.2,18.7,24.7,7.8,21.0,45.8,237.0,30.8,,0.0,1.7,3.1,21.6,67.7,0.0,7.7,7.0
undisturbed,inland,agricultural,Alcohuaz,Al6,0.00207,26.685,17.627,12891.30435,2.00,3.20,0,1,1,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,403,400,3,1.5,59.2,18.0,11.0,7.7,96.3,57.3,643.5,13.2,,0.0,4.0,6.2,11.8,80.6,0.0,1.4,8.3
disturbed,inland,agricultural,Alcohuaz,Al7,0.00328,34.174,17.429,10418.90244,2.10,3.30,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,223,221,2,2.5,79.0,24.7,16.8,7.6,64.4,31.3,274.5,8.5,,0.0,1.8,9.0,14.1,74.9,0.0,2.0,6.7
disturbed,inland,agricultural,Alcohuaz,Al8,0.01166,157.014,40.622,13466.03774,2.47,4.60,2,3,5,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.10,0.00,0.15,299,297,2,2.0,70.0,44.6,4.4,7.8,294.0,137.0,1828.0,20.0,,0.0,11.1,6.8,10.2,82.3,0.0,0.8,13.0
