Rack,pot,GH_family_ID,field_family_ID,region,Site,climate,climate_management,management type,indiv,treatment,experiment,precipCV,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,E_cicutarium,E_brachycarpum,E__malacoides,E_botrys,E_moschatum,other_Erodium,Erodium_total,grass_,forb,shrub,total_cover,F_leaf_weight,F_leaf_area,F_lflength,field_SLA,F_avg_fruit_length,Site,F_length_longest_stem,F_flowers,F_fruits,F_reproductive_effort,soil_wet_weight,soil_dry_weight,water_content,OM,ENR,P1,HCO3_P,PH,K,MG,CA,NA,BUFFER_PH,H,CEC,K_PCT,MG_PCT,CA_PCT,H_PCT,NA_PCT,S,GH_plant_to_emerge,GH_emerge_to_flower,gen2_earlylfno,gen2_boltdate,days_to_bolt,gen2_ffdate,days_to_flower,gen2_no_internodes,gen2_length_longest_stem,gen2_no_seeds_missed,gen2_no_fruits,gen2_no_flowers,gen2_no_seeds,gen2_total_seeds,photo session,tech,Total Area (mm2),raw weight,correction,tray weight,leaf_weight,SLA
50,1000,594,BBC1,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.35,0.35,0,0.7,0.00006,7.1,4.7,118333.3333,,Bodega Bay cove,3.4,0,1,1,,185.8,,4.1,112,14.8,32.7,5.7,147.1,280.8,817.4,81.1,6.7,1.9,9,4.2,25.6,45.3,21,3.9,13.8,3,103,8,39431,105,39438,112,3,1.9,7,3,2,3,10,1,emily,602.974,0.01818,,,0.01818,33166.88669
51,1412,594,BBC1,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.35,0.35,0,0.7,0.00006,7.1,4.7,118333.3333,,Bodega Bay cove,3.4,0,1,1,,185.8,,4.1,112,14.8,32.7,5.7,147.1,280.8,817.4,81.1,6.7,1.9,9,4.2,25.6,45.3,21,3.9,13.8,3,103,6,39458,132,39464,138,3,1.7,4,7,1,23,27,2,emily,270.394,0.44911,0.022923,NA,0.0229227,11795.90537
54,249,594,BBC1,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.35,0.35,0,0.7,0.00006,7.1,4.7,118333.3333,,Bodega Bay cove,3.4,0,1,1,,185.8,,4.1,112,14.8,32.7,5.7,147.1,280.8,817.4,81.1,6.7,1.9,9,4.2,25.6,45.3,21,3.9,13.8,3,103,7,39445,119,39452,126,3,1.9,7,6,0,21,28,2,emily,186.533,0.44336,0.017173,,0.0171727,10862.18242
41,457,594,BBC1,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.35,0.35,0,0.7,0.00006,7.1,4.7,118333.3333,,Bodega Bay cove,3.4,0,1,1,,185.8,,4.1,112,14.8,32.7,5.7,147.1,280.8,817.4,81.1,6.7,1.9,9,4.2,25.6,45.3,21,3.9,13.8,3,103,7,39470,144,39475,149,3,1.7,8,2,0,2,10,1,josephine,311.9,0.01262,,,0.01262,24714.73851
32,1526,594,BBC1,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.35,0.35,0,0.7,0.00006,7.1,4.7,118333.3333,,Bodega Bay cove,3.4,0,1,1,,185.8,,4.1,112,14.8,32.7,5.7,147.1,280.8,817.4,81.1,6.7,1.9,9,4.2,25.6,45.3,21,3.9,13.8,3,103,7,39466,140,39478,152,2,1,0,0,0,0,0,1,emily,303.133,0.01514,,,0.01514,20021.99472
55,1001,594,BBC1,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.35,0.35,0,0.7,0.00006,7.1,4.7,118333.3333,,Bodega Bay cove,3.4,0,1,1,,185.8,,4.1,112,14.8,32.7,5.7,147.1,280.8,817.4,81.1,6.7,1.9,9,4.2,25.6,45.3,21,3.9,13.8,3,103,6,NA,NA,NA,NA,0,0,0,0,0,0,0,2,emily,108.229,0.00692,,,0.00692,15640.0289
15,6,594,BBC1,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,low_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.35,0.35,0,0.7,0.00006,7.1,4.7,118333.3333,,Bodega Bay cove,3.4,0,1,1,,185.8,,4.1,112,14.8,32.7,5.7,147.1,280.8,817.4,81.1,6.7,1.9,9,4.2,25.6,45.3,21,3.9,13.8,3,103,13,NA,NA,NA,NA,0,0,0,0,0,0,0,1,emily,294.871,0.02178,,,0.02178,13538.61341
10,702,395,BBC10,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.8,0.1,0,0.9,0.00086,16.1,10.4,18720.93023,3.5,Bodega Bay cove,4.5,0,1,1,,142.95,,3,90.4,14.6,6,5.6,159.1,219.2,633.9,63,6.8,1.7,7.4,5.5,24.4,42.9,23.5,3.7,16,2.5,91,10,39458,132,39464,138,2,1.1,18,5,1,0,18,1 and 2,emily,253.126,0.44594,0.0195,0.42644,0.0195,12980.82051
16,1175,395,BBC10,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_nut,nutrients,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.8,0.1,0,0.9,0.00086,16.1,10.4,18720.93023,3.5,Bodega Bay cove,4.5,0,1,1,,142.95,,3,90.4,14.6,6,5.6,159.1,219.2,633.9,63,6.8,1.7,7.4,5.5,24.4,42.9,23.5,3.7,16,2.5,91,11,39426,100,39434,108,4,1.1,8,5,2,4,12,1 and 2,emily,433.859,0.45175,0.03926,0.41249,0.03926,11050.91696
54,1060,395,BBC10,California,Bodega Bay cove,coastal,coastal preserve,preserve,a,high_water,water,0.352152223,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543,0,0,0,0,0,0,0,0.8,0.1,0,0.9,0.00086,16.1,10.4,18720.93023,3.5,Bodega Bay cove,4.5,0,1,1,,142.95,,3,90.4,14.6,6,5.6,159.1,219.2,633.9,63,6.8,1.7,7.4,5.5,24.4,42.9,23.5,3.7,16,2.5,91,7,39442,116,39449,123,3,1.8,18,6,0,6,24,,emily,225.223,0.01494,,,0.01494,15075.16734
