population,latdd,londd,region,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Alcohuaz,-30.21930833,-70.49352222,Chile,9.9,13.2,6,324,21.2,-0.8,22,5.8,13.8,14.1,5.8,76,26,0,120,57,1,1,57
Bodega Bay cove,38.31714722,-123.0692222,CA,12.7,11.9,6,277.6,23.5,3.7,19.8,9.6,15.7,16.1,9.1,1012,214,2,88,548,13,22,543
Calcareous,35.63197778,-120.7530389,CA,13.7,17.6,5.7,452.5,31,0.2,30.8,9.1,19.5,19.7,8.3,477,97,1,92,266,3,10,263
Carrizal Bajo,-28.16998056,-71.15720278,Chile,17.6,9.7,5.5,274.8,26.7,9.3,17.4,14.6,21.1,21.1,14.1,38,12,0,108,30,0,0,27
Cerro Grande,-29.96115833,-71.21624167,Chile,14.5,8.8,5.4,244.4,22.8,6.7,16.1,11.5,17.6,17.7,11.5,88,26,0,112,64,0,0,64
Fray Jorge,-30.66188611,-71.68273889,Chile,13.6,9.4,5.6,257,22.4,5.7,16.7,10.4,16.8,17,10.4,150,50,0,123,109,0,0,109
Illapel,-31.58899167,-71.43520833,Chile,16.6,10.7,5.5,315.3,26.8,7.4,19.4,13,20.4,20.7,12.6,184,43,0,98,115,1,1,114
Kearney,36.60267778,-119.508075,CA,17,15.2,4.4,682.5,36.4,2.3,34.1,10,25.6,25.6,8.2,305,60,0,83,163,3,3,155
Las Campanas,-32.98044722,-71.11864444,Chile,13.2,14.3,6.1,338.1,26.3,3,23.3,8.8,17.2,17.5,8.8,391,105,0,111,268,3,3,268
Lindcove,36.35839722,-119.0537278,CA,17.3,15.8,4.6,652.7,36.5,2.5,34,10.7,25.6,25.6,9.1,358,68,0,82,188,4,4,178
Mantagua,-32.82976667,-71.46296111,Chile,14.2,11,6.2,234.3,23.8,6.2,17.6,11.2,16.9,17.3,11.2,362,98,0,110,244,3,3,244
McL seep,38.82483056,-122.3473889,CA,14.1,15.6,4.7,603,33.5,0.8,32.7,6.9,22,22,6.9,803,172,1,90,441,10,10,441
Motte,33.80445556,-117.2586722,CA,16.7,15.4,5,526.3,33.6,3.3,30.3,11.1,23.4,24,10.5,391,80,2,85,215,10,19,205
NeoHaus,-29.91393333,-71.27497778,Chile,15.2,7.8,5.4,217.6,22.5,8.3,14.2,12.5,18,18,12.5,79,19,0,101,53,1,1,53
Riverwood,38.60191944,-121.3272444,CA,16.2,13.4,4.3,601.8,34.1,3.6,30.5,8.6,23.7,23.8,8.6,475,110,1,88,257,7,8,257
Sand Ridge grassland,35.30818056,-118.7979861,CA,19,15.3,4.4,694.8,37.9,3.2,34.7,11.9,27.9,27.9,10.3,214,40,0,79,111,4,4,98
Santiago,-33.47870833,-70.51686389,Chile,13.6,15.7,5.7,419.5,28.9,1.7,27.2,8.9,18.3,19,8.2,509,117,1,96,314,7,7,300
Sierra Foothills grazed,39.25750278,-121.2888972,CA,15.4,13.9,4.2,641.4,34.1,1.7,32.4,7.5,23.7,23.7,7.5,971,196,1,84,500,14,14,500
Sweeney corral,35.11199167,-116.2677139,CA,21.4,16,4,823.4,42.1,2.7,39.4,31.6,25.1,32.1,11.1,69,10,1,46,25,6,19,23
Vallenar,-28.6288,-70.76823056,Chile,15.7,12.9,6.3,261.8,26.5,6.1,20.4,12.5,19,19.2,12.5,54,12,0,97,33,0,0,33
Burns Reserve,34.13889,-116.45278,,,,,,,,,,,,,,,,,,,,
Blue Oak,37.38167,-121.73694,,,,,,,,,,,,,,,,,,,,
Coyote Hills,33.89694,-117.91667,,,,,,,,,,,,,,,,,,,,
Ford Ord,36.89694,-121.77806,,,,,,,,,,,,,,,,,,,,
Hopland,39.00056,-123.08278,,,,,,,,,,,,,,,,,,,,
Lokern,35.38917,-119.53139,,,,,,,,,,,,,,,,,,,,
Los Choros,-29.29194,-71.30444,,,,,,,,,,,,,,,,,,,,
Los Vilos,-31.88,-71.49361,,,,,,,,,,,,,,,,,,,,
Placerville Forest Service,38.76028,-120.52028,,,,,,,,,,,,,,,,,,,,
Quail Ridge,38.81778,-122.24111,,,,,,,,,,,,,,,,,,,,
Rosita's house,-33.905,-70.76528,,,,,,,,,,,,,,,,,,,,
Sedgwick,34.69333,-120.04,,,,,,,,,,,,,,,,,,,,
UCI,33.65833,-117.88056,,,,,,,,,,,,,,,,,,,,
Vicuna,-29.99806,-70.86556,,,,,,,,,,,,,,,,,,,,
